Message,Label
Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.,spam
"Hi John, are we still on for lunch tomorrow?",ham
URGENT! Your account will be deactivated. Update your details immediately.,spam
"Hey, can you send me the notes from yesterday's meeting?",ham
You have been selected for a $500 Amazon gift card. Click here to claim it.,spam
Reminder: Your subscription is about to expire. Renew now to avoid interruptions.,ham
WINNER! You have been selected for a prize. Reply YES to claim your reward.,spam
Can we reschedule our meeting for next week?,ham
"You’re pre-approved for a personal loan of $10,000. Click to apply now.",spam
Your package has been shipped. Expected delivery: tomorrow.,ham
Call us now to claim your free vacation package to the Bahamas!,spam
Don't forget to submit your report by 5 PM today.,ham
"Limited time offer: Buy one, get one free on all items. Shop now!",spam
Just checking in to see how you're doing.,ham
Claim your free gift card worth $200. Visit www.giftcardpromo.com,spam
Meeting reminder: Marketing team sync-up at 3 PM.,ham
You’ve been chosen to participate in our survey. Complete it to receive a reward.,spam
Are we still on for dinner tonight?,ham
Your account has been temporarily locked. Please verify your identity immediately.,spam
Can you send me the latest project updates?,ham
Get the best deals on car insurance. Save up to 50% on your premium.,spam
Join us for our webinar on financial planning.,ham
Final notice: Your vehicle warranty is about to expire. Renew now.,spam
I'll call you after the meeting.,ham
Amazing discounts on electronics! Shop now.,spam
Reminder: Doctor's appointment tomorrow at 10 AM.,ham
You are the lucky winner of a cash prize! Claim it before midnight.,spam
Here is the draft for your review. Let me know your thoughts.,ham
Get access to premium content for free. Sign up today!,spam
Let's finalize the agenda for tomorrow's meeting.,ham
Exclusive offer just for you! Click to avail your free trial.,spam
Can you confirm the date for our next meeting?,ham
You have received a secure document. Open it here: http://secure-docs.com,spam
Thanks for your help on the project!,ham
Massive discounts on holiday packages! Book now!,spam
The file you requested is attached.,ham
Don't miss this one-day sale event.,spam
Could you share the presentation with me?,ham
Your payment was successful.,ham
You’ve been selected for a free iPhone. Click to claim.,spam
Reminder: Your subscription renewal is due.,ham
"You won a $1,000 Walmart gift card! Act fast to redeem it.",spam
Can you send me the client’s contact information?,ham
Claim your free movie tickets now! Limited seats available.,spam
Thanks for the feedback on my report.,ham
You’re eligible for a credit card with no annual fee. Apply now!,spam
Let’s catch up soon!,ham
Free gift inside! Check your account to claim.,spam
See you at the event next week.,ham
Earn rewards by completing surveys.,spam
Reminder: Payment due for invoice #12345.,ham
"Congratulations, you’re a lucky winner! Redeem your prize today.",spam
Are you coming to the office party tomorrow?,ham
Get instant approval for your loan. No credit check required!,spam
Can you send me the travel details for our trip next week?,ham
Get your exclusive discount on the latest gadgets.,spam
The server maintenance is scheduled for tonight.,ham
